order_id,order_placed_at,order_delivered_at
1523189,01-03-2023 03:08,24:13.4
1523190,01-03-2023 03:09,26:23.8
1523191,01-03-2023 03:14,30:22.6
1523192,01-03-2023 03:15,32:20.3
1523193,01-03-2023 03:16,31:58.2
1523194,01-03-2023 03:17,35:21.4
1523195,01-03-2023 03:24,40:20.7
1523196,01-03-2023 03:31,47:21.2
1523197,01-03-2023 03:31,46:11.7
1523198,01-03-2023 03:35,59:49.3
1523199,01-03-2023 03:38,54:16.9
1523200,01-03-2023 03:39,54:24.7
1523201,01-03-2023 03:40,02:07.9
1523202,01-03-2023 03:40,56:15.8
1523203,01-03-2023 03:41,00:20.8
1523204,01-03-2023 03:42,57:27.6
1523205,01-03-2023 03:50,06:38.6
1523206,01-03-2023 03:53,08:43.4
1523207,01-03-2023 03:54,09:48.4
1523208,01-03-2023 03:55,10:41.0
1523209,01-03-2023 03:56,15:17.9
1523210,01-03-2023 03:56,13:05.5
1523211,01-03-2023 04:06,23:47.6
1523212,01-03-2023 04:13,28:44.7
1523213,01-03-2023 04:13,30:07.5
1523214,01-03-2023 04:14,29:56.8
1523215,01-03-2023 04:18,33:58.2
1523216,01-03-2023 04:25,40:23.8
1523217,01-03-2023 04:27,42:05.1
1523218,01-03-2023 04:29,44:44.9
1523219,01-03-2023 04:31,47:58.4
1523220,01-03-2023 04:33,50:04.0
1523221,01-03-2023 04:37,59:07.5
1523222,01-03-2023 04:42,57:37.5
1523223,01-03-2023 04:45,01:52.6
1523224,01-03-2023 04:47,02:56.4
1523225,01-03-2023 04:48,04:55.2
1523226,01-03-2023 04:54,10:57.6
1523227,01-03-2023 04:55,10:42.6
1523228,01-03-2023 04:59,06:52.0
1523229,01-03-2023 05:00,15:40.4
1523230,01-03-2023 05:00,15:54.6
1523231,01-03-2023 05:05,22:48.7
1523232,01-03-2023 05:05,21:16.2
1523233,01-03-2023 05:06,21:37.5
1523234,01-03-2023 05:07,22:42.6
1523235,01-03-2023 05:08,24:15.6
1523236,01-03-2023 05:10,29:59.1
1523237,01-03-2023 05:15,38:49.5
1523238,01-03-2023 05:17,33:33.0
1523239,01-03-2023 05:18,33:34.3
1523240,01-03-2023 05:19,35:02.7
1523241,01-03-2023 05:19,35:34.7
1523242,01-03-2023 05:21,37:21.9
1523243,01-03-2023 05:22,39:05.5
1523244,01-03-2023 05:23,43:01.3
1523245,01-03-2023 05:27,44:48.6
1523246,01-03-2023 05:39,54:52.3
1523247,01-03-2023 05:41,58:07.8
1523248,01-03-2023 05:44,59:51.1
1523249,01-03-2023 05:49,08:11.0
1523250,01-03-2023 05:53,08:17.2
1523251,01-03-2023 05:53,08:23.5
1523252,01-03-2023 05:58,15:06.3
1523253,01-03-2023 05:59,26:18.9
1523254,01-03-2023 06:05,20:43.2
1523255,01-03-2023 06:05,20:41.9
1523256,01-03-2023 06:08,23:30.0
1523257,01-03-2023 06:09,25:28.0
1523258,01-03-2023 06:10,25:19.8
1523259,01-03-2023 06:13,29:16.3
1523260,01-03-2023 06:14,33:55.6
1523261,01-03-2023 06:16,35:45.2
1523262,01-03-2023 06:31,46:43.3
1523263,01-03-2023 06:32,48:48.3
1523264,01-03-2023 06:32,52:03.3
1523265,01-03-2023 06:34,52:04.0
1523266,01-03-2023 06:34,50:08.9
1523267,01-03-2023 06:36,53:34.9
1523268,01-03-2023 06:38,53:21.5
1523269,01-03-2023 06:38,57:27.0
1523270,01-03-2023 06:43,58:22.8
1523271,01-03-2023 06:45,02:33.1
1523272,01-03-2023 06:48,04:03.6
1523273,01-03-2023 06:50,06:48.7
1523274,01-03-2023 07:00,16:02.7
1523275,01-03-2023 07:03,20:03.0
1523276,01-03-2023 07:05,22:57.2
1523277,01-03-2023 07:06,21:35.1
1523278,01-03-2023 07:08,30:02.0
1523279,01-03-2023 07:14,29:07.3
1523280,01-03-2023 07:14,37:10.5
1523281,01-03-2023 07:16,33:21.3
1523282,01-03-2023 07:19,35:10.3
1523283,01-03-2023 07:19,35:06.6
1523284,01-03-2023 07:21,37:28.8
1523285,01-03-2023 07:22,12:51.9
1523286,01-03-2023 07:22,38:36.0
1523287,01-03-2023 07:25,40:29.3
1523288,01-03-2023 07:27,42:48.4
1523289,01-03-2023 07:29,48:23.6
1523290,01-03-2023 07:30,46:04.1
1523291,01-03-2023 07:30,46:16.1
1523292,01-03-2023 07:36,52:51.2
1523293,01-03-2023 07:41,00:52.9
1523294,01-03-2023 07:44,01:55.6
1523295,01-03-2023 07:45,01:03.1
1523296,01-03-2023 07:47,08:28.9
1523297,01-03-2023 07:49,04:49.2
1523298,01-03-2023 07:50,05:15.0
1523299,01-03-2023 07:56,23:11.2
1523300,01-03-2023 07:56,11:49.4
1523301,01-03-2023 07:57,12:51.2
1523302,01-03-2023 08:01,25:47.9
1523303,01-03-2023 08:07,23:22.0
1523304,01-03-2023 08:07,23:40.7
1523305,01-03-2023 08:12,28:06.0
1523306,01-03-2023 08:13,28:07.2
1523307,01-03-2023 08:13,28:36.7
1523308,01-03-2023 08:34,50:04.4
1523309,01-03-2023 08:42,57:52.3
1523310,01-03-2023 08:43,58:06.8
1523311,01-03-2023 08:44,00:12.0
1523312,01-03-2023 08:45,04:20.9
1523313,01-03-2023 08:46,01:34.4
1523314,01-03-2023 08:51,07:07.4
1523315,01-03-2023 08:54,09:57.6
1523316,01-03-2023 09:01,16:49.9
1523317,01-03-2023 09:04,25:57.7
1523318,01-03-2023 09:07,24:11.9
1523319,01-03-2023 09:10,25:49.6
1523320,01-03-2023 09:21,36:27.6
1523321,01-03-2023 09:21,36:30.3
1523322,01-03-2023 09:25,40:55.2
1523323,01-03-2023 09:30,46:24.5
1523324,01-03-2023 09:30,46:39.2
1523325,01-03-2023 09:31,49:57.9
1523326,01-03-2023 09:38,53:36.2
1523327,01-03-2023 09:41,00:19.2
1523328,01-03-2023 09:41,57:51.7
1523329,01-03-2023 09:43,58:46.1
1523330,01-03-2023 09:44,00:18.1
1523331,01-03-2023 09:48,06:28.9
1523332,01-03-2023 09:55,12:48.0
1523333,01-03-2023 09:55,25:33.4
1523334,01-03-2023 10:02,19:31.0
1523335,01-03-2023 10:05,20:33.1
1523336,01-03-2023 10:05,20:47.9
1523337,01-03-2023 10:07,28:16.6
1523338,01-03-2023 10:12,27:20.1
1523339,01-03-2023 10:14,38:47.3
1523340,01-03-2023 10:15,32:05.4
1523341,01-03-2023 10:16,31:39.4
1523342,01-03-2023 10:20,35:37.3
1523343,01-03-2023 10:25,40:34.8
1523344,01-03-2023 10:25,40:46.0
1523345,01-03-2023 10:32,47:13.3
1523346,01-03-2023 10:32,47:24.9
1523347,01-03-2023 10:32,47:51.8
1523348,01-03-2023 10:34,49:35.4
1523349,01-03-2023 10:35,50:32.5
1523350,01-03-2023 10:37,53:25.3
1523351,01-03-2023 10:41,57:22.4
1523352,01-03-2023 10:42,01:22.9
1523353,01-03-2023 10:44,00:26.2
1523354,01-03-2023 10:47,05:41.6
1523355,01-03-2023 10:47,15:47.2
1523356,01-03-2023 10:48,06:16.0
1523357,01-03-2023 10:53,12:09.7
1523358,01-03-2023 10:57,12:17.9
1523359,01-03-2023 10:58,14:57.1
1523360,01-03-2023 10:59,16:11.9
1523361,01-03-2023 11:05,20:57.2
1523362,01-03-2023 11:06,32:19.2
1523363,01-03-2023 11:08,25:11.5
1523364,01-03-2023 11:08,23:57.4
1523365,01-03-2023 11:08,23:37.8
1523366,01-03-2023 11:09,25:27.6
1523367,01-03-2023 11:10,25:39.4
1523368,01-03-2023 11:11,27:07.6
1523369,01-03-2023 11:13,30:06.1
1523370,01-03-2023 11:19,34:29.0
1523371,01-03-2023 11:19,40:38.9
1523372,01-03-2023 11:20,01:21.4
1523373,01-03-2023 11:29,45:06.3
1523374,01-03-2023 11:30,46:43.8
1523375,01-03-2023 11:31,47:11.6
1523376,01-03-2023 11:32,49:24.4
1523377,01-03-2023 11:34,50:30.2
1523378,01-03-2023 11:40,04:30.6
1523379,01-03-2023 11:40,56:25.9
1523380,01-03-2023 11:45,00:18.0
1523381,01-03-2023 11:47,02:29.7
1523382,01-03-2023 11:47,05:10.3
1523383,01-03-2023 11:48,30:57.7
1523384,01-03-2023 11:48,04:22.5
1523385,01-03-2023 11:49,33:12.2
1523386,01-03-2023 11:56,11:42.4
1523387,01-03-2023 11:56,15:57.3
1523388,01-03-2023 11:57,14:10.9
1523389,01-03-2023 11:57,14:28.7
1523390,01-03-2023 12:04,24:56.7
1523391,01-03-2023 12:04,20:02.7
1523392,01-03-2023 12:05,20:33.4
1523393,01-03-2023 12:05,21:30.2
1523394,01-03-2023 12:16,31:33.8
1523395,01-03-2023 12:17,32:36.4
1523396,01-03-2023 12:23,38:32.3
1523397,01-03-2023 12:24,41:22.5
1523398,01-03-2023 12:29,44:40.1
1523399,01-03-2023 12:31,46:30.5
1523400,01-03-2023 12:36,51:32.2
1523401,01-03-2023 12:43,01:07.5
1523402,01-03-2023 12:46,01:35.9
1523403,01-03-2023 12:48,03:38.2
1523404,01-03-2023 12:50,05:03.0
1523405,01-03-2023 12:50,06:58.2
1523406,01-03-2023 12:55,10:33.0
1523407,01-03-2023 12:57,15:45.9
1523408,01-03-2023 12:59,16:52.9
1523409,01-03-2023 13:00,15:34.7
1523410,01-03-2023 13:03,18:35.1
1523411,01-03-2023 13:03,19:10.1
1523412,01-03-2023 13:05,22:25.6
1523413,01-03-2023 13:08,24:07.7
1523414,01-03-2023 13:10,35:38.5
1523415,01-03-2023 13:16,32:30.2
1523416,01-03-2023 13:17,32:47.3
1523417,01-03-2023 13:18,34:03.1
1523418,01-03-2023 13:18,38:06.7
1523419,01-03-2023 13:19,34:53.4
1523420,01-03-2023 13:19,35:28.1
1523421,01-03-2023 13:28,43:44.4
1523422,01-03-2023 13:32,47:02.9
1523423,01-03-2023 13:32,47:39.1
1523424,01-03-2023 13:36,52:14.5
1523425,01-03-2023 13:37,55:50.6
1523426,01-03-2023 13:37,53:14.1
1523427,01-03-2023 13:39,55:02.9
1523428,01-03-2023 13:47,03:07.2
1523429,01-03-2023 13:49,05:16.2
1523430,01-03-2023 13:51,06:48.5
1523431,01-03-2023 13:56,11:14.0
1523432,01-03-2023 13:59,15:02.5
1523433,01-03-2023 14:00,15:23.3
1523434,01-03-2023 14:01,17:07.0
1523435,01-03-2023 14:03,18:51.6
1523436,01-03-2023 14:04,19:52.4
1523437,01-03-2023 14:07,22:51.3
1523438,01-03-2023 14:10,26:36.7
1523439,01-03-2023 14:12,28:19.3
1523440,01-03-2023 14:16,35:35.2
1523441,01-03-2023 14:18,34:15.5
1523442,01-03-2023 14:18,33:03.1
1523443,01-03-2023 14:18,34:03.2
1523444,01-03-2023 14:20,35:47.6
1523445,01-03-2023 14:21,37:28.7
1523446,01-03-2023 14:23,48:37.1
1523447,01-03-2023 14:23,38:20.7
1523448,01-03-2023 14:23,39:09.2
1523449,01-03-2023 14:30,54:06.2
1523450,01-03-2023 14:35,52:18.7
1523451,01-03-2023 14:35,51:05.7
1523452,01-03-2023 14:40,57:13.4
1523453,01-03-2023 14:41,03:13.3
1523454,01-03-2023 14:43,58:53.2
1523455,01-03-2023 14:44,11:53.4
1523456,01-03-2023 14:52,07:22.3
1523457,01-03-2023 14:52,31:30.4
1523458,01-03-2023 14:52,09:05.9
1523459,01-03-2023 15:03,18:43.5
1523460,01-03-2023 15:04,21:48.6
1523461,01-03-2023 15:07,24:14.8
1523462,01-03-2023 15:10,31:02.8
1523463,01-03-2023 15:15,30:44.1
1523464,01-03-2023 15:15,40:08.2
1523465,01-03-2023 15:16,31:25.5
1523466,01-03-2023 15:19,34:39.2
1523467,01-03-2023 15:20,35:44.5
1523468,01-03-2023 15:29,45:55.4
1523469,01-03-2023 15:30,47:34.1
1523470,01-03-2023 15:38,55:12.0
1523471,01-03-2023 15:39,54:18.9
1523472,01-03-2023 15:41,57:28.9
1523473,01-03-2023 15:41,57:24.1
1523474,01-03-2023 15:43,58:31.4
1523475,01-03-2023 15:44,59:15.9
1523476,01-03-2023 15:45,00:46.3
1523477,01-03-2023 15:50,08:30.2
1523478,01-03-2023 15:50,12:45.5
1523479,01-03-2023 15:56,11:32.8
1523480,01-03-2023 15:57,12:47.1
1523481,01-03-2023 16:07,22:23.4
1523482,01-03-2023 16:10,25:59.1
1523483,01-03-2023 16:17,32:07.5
1523484,01-03-2023 16:22,37:39.1
1523485,01-03-2023 16:28,43:29.1
1523486,01-03-2023 16:31,47:53.8
1523487,01-03-2023 16:33,49:02.2
1523488,01-03-2023 16:34,53:52.4
1523489,01-03-2023 16:39,55:45.0
1523490,01-03-2023 16:39,55:27.2
1523491,01-03-2023 16:39,58:01.4
1523492,01-03-2023 16:40,56:37.2
1523493,01-03-2023 16:41,57:11.9
1523494,01-03-2023 16:49,07:21.3
1523495,01-03-2023 16:52,09:00.2
1523496,01-03-2023 16:56,11:38.0
1523497,01-03-2023 16:57,12:47.8
1523498,01-03-2023 16:58,15:43.8
1523499,01-03-2023 16:58,14:04.4
1523500,01-03-2023 17:02,25:11.6
1523501,01-03-2023 17:03,19:11.5
1523502,01-03-2023 17:07,23:24.4
1523503,01-03-2023 17:14,33:47.0
1523504,01-03-2023 17:16,32:40.9
1523505,01-03-2023 17:18,33:42.0
1523506,01-03-2023 17:20,36:16.3
1523507,01-03-2023 17:32,47:50.2
1523508,01-03-2023 17:32,48:06.8
1523509,01-03-2023 17:37,53:02.0
1523510,01-03-2023 17:38,56:30.3
1523511,01-03-2023 17:38,05:27.2
1523512,01-03-2023 17:40,55:55.9
1523513,01-03-2023 17:42,59:45.3
1523514,01-03-2023 17:43,58:21.1
1523515,01-03-2023 17:48,13:34.0
1523516,01-03-2023 17:55,11:04.9
1523517,01-03-2023 17:59,14:18.3
1523518,01-03-2023 18:04,19:28.2
1523519,01-03-2023 18:05,46:42.8
1523520,01-03-2023 18:17,33:50.8
1523521,01-03-2023 18:23,39:58.7
1523522,01-03-2023 18:28,47:47.5
1523523,01-03-2023 18:29,45:55.3
1523524,01-03-2023 18:31,48:00.3
1523525,01-03-2023 18:39,55:43.9
1523526,01-03-2023 18:39,26:50.7
1523527,01-03-2023 18:42,57:26.0
1523528,01-03-2023 18:44,01:13.1
1523529,01-03-2023 18:46,04:47.9
1523530,01-03-2023 18:53,09:59.5
1523531,01-03-2023 18:57,12:11.5
1523532,01-03-2023 18:58,13:58.8
1523533,01-03-2023 19:11,27:06.9
1523534,01-03-2023 19:11,27:22.8
1523535,01-03-2023 19:12,32:19.0
1523536,01-03-2023 19:14,30:14.0
1523537,01-03-2023 19:14,29:21.2
1523538,01-03-2023 19:15,33:45.3
1523539,01-03-2023 19:17,33:05.7
1523540,01-03-2023 19:17,33:29.7
1523541,01-03-2023 19:17,33:06.2
1523542,01-03-2023 19:24,39:42.0
1523543,01-03-2023 19:29,44:40.7
1523544,01-03-2023 19:32,50:06.0
1523545,01-03-2023 19:34,52:09.8
1523546,01-03-2023 19:35,51:15.0
1523547,01-03-2023 19:37,52:18.7
1523548,01-03-2023 19:39,57:05.5
1523549,01-03-2023 19:40,55:41.5
1523550,01-03-2023 19:41,56:27.7
1523551,01-03-2023 19:42,58:39.0
1523552,01-03-2023 19:42,58:39.4
1523553,01-03-2023 19:42,57:48.8
1523554,01-03-2023 19:44,18:26.4
1523555,01-03-2023 19:45,01:51.8
1523556,01-03-2023 19:47,02:35.9
1523557,01-03-2023 19:53,08:48.4
1523558,01-03-2023 19:55,12:04.2
1523559,01-03-2023 20:02,18:08.7
1523560,01-03-2023 20:03,20:12.1
1523561,01-03-2023 20:04,21:51.2
1523562,01-03-2023 20:06,23:25.5
1523563,01-03-2023 20:11,26:09.1
1523564,01-03-2023 20:13,28:15.6
1523565,01-03-2023 20:13,29:02.4
1523566,01-03-2023 20:14,39:04.7
1523567,01-03-2023 20:19,38:18.3
1523568,01-03-2023 20:20,37:40.8
1523569,01-03-2023 20:21,50:14.2
1523570,01-03-2023 20:23,38:15.4
1523571,01-03-2023 20:29,17:46.8
1523572,01-03-2023 20:31,52:26.9
1523573,01-03-2023 20:33,48:10.3
1523574,01-03-2023 20:33,49:02.4
1523575,01-03-2023 20:33,48:45.4
1523576,01-03-2023 20:33,49:11.5
1523577,01-03-2023 20:35,51:17.4
1523578,01-03-2023 20:35,50:13.0
1523579,01-03-2023 20:36,53:25.3
1523580,01-03-2023 20:36,51:45.7
1523581,01-03-2023 20:37,53:28.0
1523582,01-03-2023 20:37,56:53.1
1523583,01-03-2023 20:38,54:22.1
1523584,01-03-2023 20:39,56:13.8
1523585,01-03-2023 20:39,58:56.8
1523586,01-03-2023 20:45,05:04.6
1523587,01-03-2023 20:47,02:52.3
1523588,01-03-2023 20:47,04:16.7
1523589,01-03-2023 20:50,05:56.1
1523590,01-03-2023 20:50,11:19.5
1523591,01-03-2023 20:50,05:45.1
1523592,01-03-2023 20:55,11:02.4
1523593,01-03-2023 20:56,34:39.0
1523594,01-03-2023 20:58,13:31.3
1523595,01-03-2023 20:59,17:31.4
1523596,01-03-2023 20:59,20:55.8
1523597,01-03-2023 21:00,16:34.8
1523598,01-03-2023 21:02,19:35.5
1523599,01-03-2023 21:08,24:40.2
1523600,01-03-2023 21:09,24:10.8
1523601,01-03-2023 21:13,34:44.4
1523602,01-03-2023 21:14,29:17.6
1523603,01-03-2023 21:17,33:39.8
1523604,01-03-2023 21:18,34:41.0
1523605,01-03-2023 21:21,38:16.1
1523606,01-03-2023 21:24,43:23.1
1523607,01-03-2023 21:26,43:35.2
1523608,01-03-2023 21:28,44:56.3
1523609,01-03-2023 21:33,48:48.6
1523610,01-03-2023 21:35,50:51.0
1523611,01-03-2023 21:35,52:21.8
1523612,01-03-2023 21:36,52:47.8
1523613,01-03-2023 21:42,57:17.5
1523614,01-03-2023 21:42,00:17.9
1523615,01-03-2023 21:43,59:29.6
1523616,01-03-2023 21:46,02:20.2
1523617,01-03-2023 21:49,05:22.9
1523618,01-03-2023 21:59,16:17.8
1523619,01-03-2023 22:03,19:24.9
1523620,01-03-2023 22:05,23:22.6
1523621,01-03-2023 22:06,23:19.0
1523622,01-03-2023 22:12,27:16.3
1523623,01-03-2023 22:18,33:33.5
1523624,01-03-2023 22:18,34:01.3
1523625,01-03-2023 22:22,39:19.8
1523626,01-03-2023 22:22,38:33.3
1523627,01-03-2023 22:23,42:26.8
1523628,01-03-2023 22:24,45:05.5
1523629,01-03-2023 22:25,40:23.8
1523630,01-03-2023 22:25,41:52.6
1523631,01-03-2023 22:28,45:45.2
1523632,01-03-2023 22:31,48:30.0
1523633,01-03-2023 22:34,49:36.9
1523634,01-03-2023 22:37,52:48.7
1523635,01-03-2023 22:40,56:27.4
1523636,01-03-2023 22:42,00:22.4
1523637,01-03-2023 22:45,03:18.4
1523638,01-03-2023 22:57,12:45.0
1523639,01-03-2023 23:00,15:41.8
1523640,01-03-2023 23:01,21:06.5
1523641,01-03-2023 23:02,17:17.6
1523642,01-03-2023 23:05,21:19.7
1523643,01-03-2023 23:09,24:43.9
1523644,01-03-2023 23:10,25:42.8
1523645,01-03-2023 23:11,27:02.5
1523646,01-03-2023 23:16,47:58.5
1523647,01-03-2023 23:17,33:13.8
1523648,01-03-2023 23:23,38:30.1
1523649,01-03-2023 23:24,39:45.3
1523650,01-03-2023 23:25,41:25.5
1523651,01-03-2023 23:27,42:14.6
1523652,01-03-2023 23:28,45:55.3
1523653,01-03-2023 23:32,49:33.1
1523654,01-03-2023 23:34,51:41.6
1523655,01-03-2023 23:35,51:08.6
1523656,01-03-2023 23:42,57:28.4
1523657,01-03-2023 23:43,58:21.7
1523658,01-03-2023 23:44,00:00.7
1523659,01-03-2023 23:51,07:00.6
1523660,01-03-2023 23:58,13:20.7
1523661,02-03-2023 00:03,18:16.9
1523662,02-03-2023 00:08,24:32.4
1523663,02-03-2023 00:08,27:50.2
1523664,02-03-2023 00:14,30:04.2
1523665,02-03-2023 00:22,41:00.9
1523666,02-03-2023 00:23,38:22.1
1523667,02-03-2023 00:24,40:25.7
1523668,02-03-2023 00:24,40:36.6
1523669,02-03-2023 00:25,40:25.3
1523670,02-03-2023 00:26,41:53.4
1523671,02-03-2023 00:27,42:07.4
1523672,02-03-2023 00:29,44:51.2
1523673,02-03-2023 00:33,51:15.2
1523674,02-03-2023 00:34,49:32.6
1523675,02-03-2023 00:35,51:23.3
1523676,02-03-2023 00:36,30:08.0
1523677,02-03-2023 00:38,53:18.4
1523678,02-03-2023 00:47,09:16.1
1523679,02-03-2023 00:57,18:46.6
1523680,02-03-2023 00:58,13:51.7
1523681,02-03-2023 00:59,14:58.5
1523682,02-03-2023 01:01,32:53.7
1523683,02-03-2023 01:03,18:49.4
1523684,02-03-2023 01:07,24:02.4
1523685,02-03-2023 01:07,23:17.1
1523686,02-03-2023 01:22,38:26.6
1523687,02-03-2023 01:23,39:21.2
1523688,02-03-2023 01:26,44:51.3
1523689,02-03-2023 01:26,57:34.7
1523690,02-03-2023 01:34,49:24.4
1523691,02-03-2023 01:34,50:36.8
1523692,02-03-2023 01:40,56:11.3
1523693,02-03-2023 01:41,04:55.3
1523694,02-03-2023 01:41,56:52.3
1523695,02-03-2023 01:42,58:36.1
1523696,02-03-2023 01:42,02:43.1
1523697,02-03-2023 01:48,04:02.2
1523698,02-03-2023 01:49,30:39.8
1523699,02-03-2023 01:59,17:20.9
1523700,02-03-2023 02:00,15:55.2
1523701,02-03-2023 02:09,24:54.4
1523702,02-03-2023 02:09,24:27.4
1523703,02-03-2023 02:10,25:27.9
1523704,02-03-2023 02:18,43:32.6
1523705,02-03-2023 02:20,35:26.7
1523706,02-03-2023 02:24,40:29.5
1523707,02-03-2023 02:32,47:36.7
1523708,02-03-2023 02:32,48:34.7
1523709,02-03-2023 02:33,48:12.9
1523710,02-03-2023 02:35,50:53.4
1523711,02-03-2023 02:38,54:02.0
1523712,02-03-2023 02:40,56:06.1
1523713,02-03-2023 02:42,58:33.8
1523714,02-03-2023 02:43,58:44.4
1523715,02-03-2023 02:45,01:37.7
1523716,02-03-2023 02:46,09:43.5
1523717,02-03-2023 02:46,02:29.6
1523718,02-03-2023 02:48,03:27.2
1523719,02-03-2023 02:54,10:46.1
1523720,02-03-2023 02:55,10:21.4
1523721,02-03-2023 03:02,20:12.3
1523722,02-03-2023 03:04,20:16.8
1523723,02-03-2023 03:07,23:09.5
1523724,02-03-2023 03:09,24:10.9
1523725,02-03-2023 03:11,27:01.4
1523726,02-03-2023 03:16,37:05.0
1523727,02-03-2023 03:17,32:25.3
1523728,02-03-2023 03:18,33:23.8
1523729,02-03-2023 03:24,32:35.7
1523730,02-03-2023 03:25,42:24.5
1523731,02-03-2023 03:25,43:42.0
1523732,02-03-2023 03:28,43:58.6
1523733,02-03-2023 03:29,44:36.7
1523734,02-03-2023 03:30,46:13.2
1523735,02-03-2023 03:30,45:43.1
1523736,02-03-2023 03:34,50:13.5
1523737,02-03-2023 03:39,04:52.0
1523738,02-03-2023 03:40,55:21.5
1523739,02-03-2023 03:41,29:49.5
1523740,02-03-2023 03:42,00:10.9
1523741,02-03-2023 03:43,58:45.9
1523742,02-03-2023 03:44,04:36.8
1523743,02-03-2023 03:47,08:36.4
1523744,02-03-2023 03:53,08:14.1
1523745,02-03-2023 03:56,12:42.6
1523746,02-03-2023 04:00,33:42.7
1523747,02-03-2023 04:08,23:31.6
1523748,02-03-2023 04:10,25:53.2
1523749,02-03-2023 04:12,28:07.1
1523750,02-03-2023 04:14,30:08.4
1523751,02-03-2023 04:15,31:40.4
1523752,02-03-2023 04:17,34:33.4
1523753,02-03-2023 04:18,33:30.4
1523754,02-03-2023 04:20,35:44.6
1523755,02-03-2023 04:25,41:02.4
1523756,02-03-2023 04:26,41:27.1
1523757,02-03-2023 04:27,42:34.7
1523758,02-03-2023 04:28,43:17.1
1523759,02-03-2023 04:30,45:50.0
1523760,02-03-2023 04:33,49:23.2
1523761,02-03-2023 04:38,54:06.5
1523762,02-03-2023 04:39,54:38.0
1523763,02-03-2023 04:39,56:08.0
1523764,02-03-2023 04:41,00:48.6
1523765,02-03-2023 04:42,58:31.4
1523766,02-03-2023 04:45,04:48.2
1523767,02-03-2023 04:49,15:42.5
1523768,02-03-2023 04:49,04:58.3
1523769,02-03-2023 04:49,06:24.9
1523770,02-03-2023 04:50,05:56.8
1523771,02-03-2023 04:54,11:13.7
1523772,02-03-2023 04:55,10:58.1
1523773,02-03-2023 04:57,29:00.9
1523774,02-03-2023 05:00,15:30.2
